id,nombre,telefono,gastos,rol,ganancias_anuales
36726010,Donald Griffith,2598219616,17337.41,Gerente,15025.58
27345537,Marissa Ruiz,+1-955-194-7173x667,1825.72,Analista,56900.5
6877424,David Atkins,205.985.7370x0227,1901.26,Ejecutivo,38646.45
70032800,Shannon Vargas,971-015-1686x1651,6440.04,Analista,70983.83
65985289,Charles Hernandez,6126582296,8742.37,Cliente,14245.55
13273067,Mr. Arthur Rocha,206.378.4070x34562,17358.19,Gerente,9122.19
95010447,Jennifer Hernandez,965.248.2709,268.38,Analista,21852.78
2504408,David Robinson,001-087-411-4544,1650.65,Gerente,47963.33
92868641,Tony Gross,021-070-1638,6498.51,Ejecutivo,45713.05
37620683,Jessica Reed,(011)154-6192,4225.94,Analista,55560.89
32852218,April Bruce,8481095118,2589.24,Gerente,41995.02
89238728,Chelsea Ferguson,+1-282-833-5117,18379.49,Analista,31690.39
88882015,Vanessa Marshall,(818)694-1896x773,10438.95,Ejecutivo,52140.11
96182880,Michelle Ellison,574-843-8448,12027.68,Gerente,30484.22
16243501,James Huffman,(432)019-9558,2365.1,Gerente,35470.09
15474412,Scott Larson,+1-852-722-4175x706,11745.01,Cliente,71528.84
3085853,Sarah Fields,+1-037-329-6385,4928.64,Analista,33130.88
30179329,Michael Brown,749.821.5416,19410.12,Analista,57003.92
415028,Savannah Payne,292-739-7623x164,6732.77,Cliente,39713.61
54039949,Daniel Vasquez,(379)512-0937x18542,17638.66,Gerente,24731.47
44309488,William Golden,(426)980-8268,12715.75,Analista,49280.56
4079327,Luke Reed,(929)085-7067x248,19849.68,Ejecutivo,54591.81
34201693,Mark Hernandez,2948086398,13881.34,Gerente,13769.51
52879629,Kevin Collier,(759)577-2976x024,4808.57,Analista,28041.47
29093981,Amy Day,638.040.5918x473,10079.96,Cliente,17141.25
68677356,Kristin Hernandez,001-996-204-6431x4826,9106.71,Analista,63503.25
17601858,Kevin Lee,165-998-0064x3729,5412.78,Gerente,72067.04
30676473,Danielle Rojas,001-530-689-5368x5629,4220.9,Gerente,18225.57
36242744,Terrance Carter,(931)976-5335x3829,3911.78,Gerente,79362.66
72265026,James Fitzpatrick,+1-757-863-0809x8373,7171.62,Gerente,29408.25
6567108,Kendra Robinson,494-618-1567x814,5081.58,Ejecutivo,36932.88
68215549,Miguel Brown,+1-934-131-6932,12620.85,Ejecutivo,50548.78
15793338,Andrea Duran,963.616.3457,5516.32,Gerente,23682.77
88732681,Mr. Justin Williams,(736)592-9597x2272,13472.64,Ejecutivo,45934.92
75676563,Terri Myers,604.909.8995,9173.29,Analista,77874.81
42930434,George Sullivan,+1-505-016-7739x12379,18464.83,Gerente,7365.83
98776336,Amy Williams,896.101.5515,4146.48,Cliente,35930.45
77958798,Wesley Page,001-916-296-9898x8332,10741.84,Cliente,18010.91
98358423,Cynthia Armstrong,(325)289-4048x54116,17541.32,Ejecutivo,61802.5
61584545,Mark Rodriguez,001-772-079-3401x63280,1665.69,Analista,61270.9
42697657,Jeffrey Young,(542)415-4911,9719.33,Cliente,6952.99
94494615,Aaron Graham,001-875-399-5204x2310,14173.64,Gerente,16891.99
23343481,Danielle Gillespie,913.688.8501,6731.41,Gerente,32415.68
7004383,Jennifer Johnson,075-711-5384,2663.56,Cliente,33676.3
54398648,Daniel Mendoza,146-459-5121x278,8002.33,Ejecutivo,43421.32
47687952,Kyle Watts,924.862.2122,7022.99,Cliente,50585.83
26983772,Eric Brown,+1-623-837-7120,14507.99,Cliente,20686.82
39437773,Ashley Miller,+1-869-700-8713x363,6924.72,Gerente,12849.62
38899268,Mia Little,738-214-7674,7735.92,Gerente,32272.15
23726649,Joseph Ford,+1-250-596-2644,19743.11,Analista,58892.34
67813191,Danielle Stevenson,+1-709-042-9577,7922.77,Gerente,57297.0
84166955,Kelly Jacobson,+1-310-917-8726x04574,9973.39,Gerente,18885.04
28055883,Susan Kim,+1-275-133-5854x6113,12847.53,Analista,16670.51
93871491,Courtney Pittman,+1-600-316-7954,6750.01,Cliente,32208.79
